Model,WER,CER,Time_Sec
Whisper-v3,0.1603388888888889,0.10472777777777778,1.5283333333333333
Faster-Whisper-V3,0.17011666666666667,0.12959444444444446,1.4388888888888889
Whisper-Turbo,0.19984444444444444,0.14255555555555555,0.6927777777777778
